# voltage (V), current (A), dIdV (G0)
-5.980000000000000072e-04,-3.773015601536808219e-09,1.825434102177652118e-01
-5.960000000000000671e-04,-3.756020162754711939e-09,2.940783964795320310e-02
-5.940000000000000184e-04,-3.763901415971047583e-09,-1.016041504766307044e-02
-5.919999999999999698e-04,-3.759169115866472357e-09,1.221960594159363783e-01
-5.900000000000000296e-04,-3.726029964879968601e-09,2.031322220353800057e-01
-5.879999999999999810e-04,-3.696213632288643978e-09,4.115448947840956440e-02
-5.860000000000000408e-04,-3.713275214498410609e-09,1.620880829053487626e-01
-5.839999999999999922e-04,-3.645978698907503953e-09,1.847190671727724220e-01
-5.820000000000000520e-04,-3.656026403436407630e-09,-1.436980312867638422e-02
-5.800000000000000034e-04,-3.650432241018249644e-09,1.105445771302389080e-01
-5.780000000000000632e-04,-3.621766022486464439e-09,1.585895401141331484e-01
-5.760000000000000146e-04,-3.601281588855681284e-09,7.193650474983673271e-02
-5.740000000000000744e-04,-3.599471196987848010e-09,5.951867822276819125e-02
-5.720000000000000258e-04,-3.582835341717326968e-09,1.674411330647711527e-01
-5.699999999999999772e-04,-3.547577226660104971e-09,9.546101182298760701e-02
-5.680000000000000370e-04,-3.553249714671418198e-09,2.481869582336438534e-02
-5.659999999999999884e-04,-3.539885325386761554e-09,1.754395738226414425e-01
-5.640000000000000482e-04,-3.498876838236439978e-09,1.803461010456247349e-01
-5.619999999999999996e-04,-3.483991800032003035e-09,3.963024969733244807e-02
-5.600000000000000594e-04,-3.486594485840514842e-09,6.247021916926753793e-02
-5.580000000000000107e-04,-3.464630800493832724e-09,1.855776919449650952e-01
-5.560000000000000706e-04,-3.429079566638687742e-09,8.805366621763827117e-02
-5.540000000000000219e-04,-3.437340885176675186e-09,2.905440057982433197e-02
-5.519999999999999733e-04,-3.420074920205743967e-09,1.250075282686279043e-01
-5.500000000000000331e-04,-3.398598093343039486e-09,8.879688877292746252e-02
-5.479999999999999845e-04,-3.392554662627247129e-09,1.153328695416979549e-01
